,0
0,-5.357000000000001
100,6.012399999999999
200,5.5177999999999985
300,3.742799999999999
400,8.226999999999999
500,7.404000000000001
600,6.3668000000000005
700,7.792400000000001
800,7.283200000000001
900,7.518600000000001
1000,8.544599999999999
1100,8.519799999999998
1200,7.4921999999999995
1300,8.77
1400,8.5726
1500,8.881200000000002
1600,9.0018
1700,8.241400000000002
1800,8.766
1900,8.877399999999998
2000,9.075400000000002
2100,9.1506
2200,8.946000000000002
2300,8.671399999999998
2400,9.161599999999998
2500,9.183000000000002
2600,9.093599999999999
2700,8.813999999999998
2800,9.1246
2900,9.0744
3000,9.1502
3100,9.1618
3200,9.095600000000001
3300,9.1558
3400,9.1998
3500,9.182400000000001
3600,9.186200000000001
3700,9.1576
3800,9.2
3900,9.241800000000001
4000,9.251
4100,9.251
4200,9.262
4300,9.2594
