,steps,time
0,62.99000000000001,0.0004395580291748047
100,38.015,0.00019329667091369632
200,26.145,0.00013364315032958984
300,31.714999999999996,0.0001619589328765869
400,30.315000000000005,0.00015494346618652344
500,27.119999999999997,0.00013899207115173338
600,26.18,0.00013224124908447268
700,24.299999999999997,0.00012295842170715335
800,23.89,0.00012118935585021976
900,26.765000000000004,0.00013454318046569823
1000,27.345000000000006,0.00013669967651367185
1100,27.964999999999996,0.00014023661613464354
1200,25.53,0.00012814760208129883
1300,25.475,0.00012697935104370118
1400,23.544999999999998,0.00017560720443725585
1500,25.205000000000002,0.00013103365898132325
1600,23.445000000000004,0.00011578083038330078
1700,29.904999999999994,0.0001495373249053955
1800,25.575,0.00013045191764831542
1900,25.3,0.0001268768310546875
2000,22.86,0.00011647343635559081
2100,22.235,0.00011443734169006347
2200,23.585,0.00011863231658935548
2300,26.685000000000002,0.0001382589340209961
2400,21.96,0.00010936021804809569
2500,21.425000000000004,0.0001066577434539795
2600,23.66,0.00011795759201049807
2700,24.374999999999996,0.00012214183807373046
2800,21.63,0.00010858058929443358
2900,21.630000000000003,0.00011227130889892576
3000,22.245,0.00011429548263549806
3100,21.955000000000002,0.00012114644050598145
3200,22.355000000000004,0.00011533975601196291
3300,22.105,0.00011332988739013673
3400,21.005000000000003,0.00010842204093933108
3500,21.440000000000005,0.00011063337326049805
3600,21.345000000000002,0.0001106846332550049
3700,22.06,0.00011849522590637207
3800,21.000000000000004,0.00010800719261169433
3900,19.955000000000002,0.00010053992271423341
4000,19.725,9.951591491699218e-05
4100,19.725,9.903192520141602e-05
4200,19.45,9.805917739868163e-05
4300,19.515,0.00011064171791076657
