,Value,Mean_Value(10)
0,0.34507895076976103,
1,0.40870765237247236,
2,0.5208297729492188,
3,0.8625799740062041,
4,0.9621463551240808,
5,1.1522807401769302,
6,1.3478272381950827,
7,1.4934218462775735,
8,1.6655596564797794,
9,1.838506451775046,
10,1.9459754495059745,
11,2.0167180678423713,
12,2.0743659524356617,
13,2.223897058823529,
14,2.424357604980469,
15,2.47805077047909,
16,2.704869797650505,
17,2.8695013607249544,
18,2.896145181094899,
19,2.9953912174000457,
20,3.2199156817267927,
21,3.2631249820484833,
22,3.289309782140395,
23,3.3316209680893834,
24,3.459182918772978,
25,3.5045690199908086,
26,3.5522942038143386,
27,3.580139698701746,
28,3.613039802102482,
29,3.7051526237936576,
30,3.799642226275276,
31,3.840284280215993,
32,3.8970010196461393,
33,3.926048009535846,
34,3.990692497702206,
35,4.085647223977481,
36,4.171561746036305,
37,4.2245230282054225,
38,4.278823493508732,
39,4.360557825425092,
40,4.462279016831343,
41,4.543765976849724,
42,4.611457555434283,
43,4.619189632640166,
44,4.724402573529412,
45,4.745922133501838,
46,4.754993393841911,
47,4.772615320542279,
48,4.783667710248162,
49,4.780694939108455,
50,4.875967227711397,
51,4.907492244944853,
52,4.938147690716912,
53,4.925025132123162,
54,4.977415286793429,
55,4.95332129983341,
56,5.0449303122127755,
57,5.0680016012752755,
58,5.094848453297335,
59,5.146767111385571,
60,5.157303215475643,
61,5.187392829446232,
62,5.20966994341682,
63,5.2296076157513784,
64,5.247306374942555,
65,5.265091301413143,
66,5.2321639117072625,
67,5.250804766486673,
68,5.255658856560203,
69,5.26127696317785,
70,5.3271245619829966,
71,5.3507487577550545,
72,5.39983538459329,
73,5.323399981330423,
74,5.332115442612592,
75,5.359089211856618,
76,5.38240966796875,
77,5.489326028262868,
78,5.504261690027573,
79,5.5098683076746315,
80,5.515795898437499,
81,5.544424977022059,
82,5.604236557904412,
83,5.586198874080884,
84,5.605297133501837,
85,5.62332332835478,
86,5.628638054342831,
87,5.6221238080193014,
88,5.636542466107537,
89,5.6493182014016545,
90,5.668623082778033,
91,5.658972347483916,
92,5.668653241325828,
93,5.683198278090533,
94,5.715378884708181,
95,5.754803287281709,
96,5.776218728458181,
97,5.7591746610753685,
98,5.785788861443014,
99,5.779458438648897,4.265908706665039
100,5.775512874827665,4.320213045905618
101,5.789000926298254,4.374015978644875
102,5.785232543945313,4.426660006354837
103,5.796101110121784,4.475995217715993
104,5.795166913200828,4.5243254232967605
105,5.790774356617648,4.5707103594611675
106,5.809685202205882,4.615328939101275
107,5.818278952205883,4.658577510160558
108,5.868520220588235,4.700607115801643
109,5.867807904411764,4.74090013032801
110,5.894370404411765,4.780384079877067
111,5.9152688419117645,4.819369587617762
112,5.927406939338235,4.857899997486788
113,5.927177159926471,4.894932798497817
114,5.9001321231617645,4.92969054367963
115,5.897604549632353,4.963886081471163
116,5.902108226102941,4.995858465755687
117,5.888989257812501,5.026053344726562
118,5.882700482536764,5.055918897740981
119,5.8896627987132355,5.084861613554113
120,5.861262063419118,5.111275077371037
121,5.80107421875,5.1366545697380515
122,5.791618795955882,5.161677659876207
123,5.789809283088234,5.186259543026194
124,5.810294117647058,5.209770655014936
125,5.827757352941175,5.23300253834444
126,5.801849724264705,5.255498093548942
127,5.786075367647059,5.277557450238396
128,5.804446231617648,5.299471514533548
129,5.816498161764706,5.320584969913259
130,5.831583180147058,5.340904379451977
131,5.834960937499999,5.3608511460248165
132,5.848276654411765,5.380363902372473
133,5.884570312500001,5.399949125402114
134,5.901183363970588,5.419054034064797
135,5.936310891544118,5.4375606707404645
136,5.925005744485294,5.455095110724954
137,5.905560661764706,5.471905487060548
138,5.906428079044118,5.488181532915901
139,5.924281939338235,5.503818774055032
140,5.9133444393382355,5.518329428280101
141,5.892710248161765,5.531818870993221
142,5.8780847886029415,5.544485143324908
143,5.858059512867647,5.556873842127183
144,5.887477022058823,5.568504586612477
145,5.890762867647058,5.5799529939539285
146,5.901872702205883,5.591421787037568
147,5.896966911764705,5.602665302949792
148,5.89387637867647,5.613767389634076
149,5.825413602941177,5.624214576272403
150,5.837270220588236,5.633827606201172
151,5.8374540441176475,5.643127224192899
152,5.8372931985294105,5.652118679271025
153,5.878929227941177,5.661657720229204
154,5.868830422794117,5.670571871589211
155,5.902941176470588,5.680068070355584
156,5.916101792279411,5.6887797851562505
157,5.9389878216911764,5.697489647360409
158,5.951137408088235,5.7060525369083175
159,5.957640165441177,5.7141612674488735
160,5.981606158088235,5.722404296874999
161,5.990579044117647,5.730436159021714
162,5.995795036764706,5.738297409955193
163,5.9956571691176475,5.745957905488856
164,6.016957720588236,5.753654418945313
165,6.041268382352941,5.76141618975471
166,6.036982996323529,5.7694643806008745
167,6.0718577665441185,5.777674910601449
168,6.033427159926472,5.78545259363511
169,6.027866498161766,5.793118488984948
170,6.0522690716911764,5.800369934082031
171,6.061517693014705,5.807477623434628
172,6.052464384191177,5.814003913430607
173,6.0555549172794105,5.821325462790097
174,6.062643612132353,5.828630744485294
175,6.071030560661765,5.8357501579733455
176,6.072581571691177,5.84265187701057
177,6.077452895220588,5.848533145680148
178,6.079658777573529,5.854287116555607
179,6.0730870863970585,5.859919304342831
180,6.084897748161765,5.865610322840073
181,6.096237362132354,5.871128446691176
182,6.090435431985294,5.875990435431986
183,6.07705078125,5.880898954503676
184,6.078199678308824,5.885627979951747
185,6.059909237132352,5.889993839039522
186,6.091187959558823,5.894619338091681
187,6.083743106617646,5.8992355310776645
188,6.069485294117647,5.903564959357767
189,6.085615808823528,5.907927935431985
190,6.07057674632353,5.911947472067441
191,6.0908203125,5.916265951717602
192,6.0884765625,5.920464184929343
193,6.096852022058824,5.924600722369025
194,6.104641544117648,5.928493348963121
195,6.1157743566176475,5.93210305965648
196,6.140935202205882,5.935750224393956
197,6.146955422794117,5.939628032011144
198,6.126608455882353,5.943036227955538
199,6.123448988970589,5.946476133458755
200,6.12682674632353,5.949989272173712
201,6.11295955882353,5.953228858498965
202,6.086275706571691,5.956239290125231
203,6.078290872012868,5.95906118774414
204,6.087033978630514,5.961979858398438
205,6.094938390395219,5.965021498736213
206,6.097465963924632,5.9678993063534005
207,6.102141974954043,5.970737936580882
208,6.095524327895221,5.973007977653952
209,6.082392434512867,5.975153822954963
210,6.067226993336396,5.97688238884421
211,6.066732967601103,5.978397030101103
212,6.090342802159926,5.98002638872932
213,6.085793169806985,5.981612548828125
214,6.101923684512867,5.983630464441636
215,6.098476993336397,5.985639188878676
216,6.084127269071692,5.987459379308364
217,6.080652573529411,5.989376012465533
218,6.075815716911764,5.991307164809283
219,6.082525275735295,5.993235789579504
220,6.08723575367647,5.9954955264820775
221,6.043382352941176,5.997918607823989
222,6.043336397058824,6.000435783835018
223,6.038637408088235,6.002924065085018
224,6.056721047794118,6.005388334386488
225,6.049643841911765,6.007607199276195
226,6.043003216911765,6.010018734202665
227,6.030824908088235,6.012466229607076
228,6.045818014705883,6.01487994743796
229,6.06015625,6.017316528320311
230,6.062902113970588,6.019629717658547
231,6.049505974264706,6.021775168026195
232,6.031192555147059,6.0236043270335475
233,6.065636488970588,6.0254149887982535
234,6.050769761029412,6.026910852768842
235,6.055732996323529,6.0281050738166355
236,6.0263901654411764,6.029118918026195
237,6.039464613970589,6.030457957548253
238,6.047300091911763,6.0318666776769305
239,6.039774816176471,6.033021606445312
240,6.021748621323529,6.034105648265165
241,6.0191980698529415,6.035370526482077
242,6.040900735294118,6.03699868594899
243,6.026746323529411,6.038685554055608
244,6.039625459558824,6.040207038430607
245,6.041004136029413,6.041709451114431
246,6.05788143382353,6.043269538430606
247,6.047288602941177,6.044772755342372
248,6.056491268382354,6.04639890423943
249,6.059248621323529,6.048737254423254
250,6.052263327205883,6.05088718548943
251,6.051252297794117,6.053025168026195
252,6.048609834558823,6.0551383343864895
253,6.0248046875,6.056597088982078
254,5.94954044117647,6.057404189165901
255,5.9472886029411764,6.057847663430606
256,5.961006433823529,6.058296709846047
257,5.961810661764706,6.058524938246783
258,6.005079561121324,6.059064359777113
259,6.048403033088236,6.059971988453584
260,6.053779871323529,6.0606937255859386
261,6.060431985294118,6.061392254997702
262,6.056904871323529,6.062003353343291
263,6.069186580882353,6.062738647460938
264,6.095749080882353,6.063526561063879
265,6.114246323529412,6.0642563404756435
266,6.1187040441176475,6.065073550953584
267,6.105583639705882,6.0654108096852015
268,6.075126378676471,6.065827801872703
269,6.076826746323529,6.0663174043543195
270,6.0549747242647065,6.066344460880056
271,6.037741268382353,6.066106696633732
272,6.019818474264706,6.065780237534467
273,6.023184742647059,6.065456535788143
274,6.040395220588235,6.065234051872702
275,6.04453125,6.064969058766085
276,6.0563534007352935,6.064806777056525
277,6.0517348345588236,6.064549596449907
278,6.07649356617647,6.064517944335937
279,6.071277573529412,6.0644998492072615
280,6.088189338235294,6.064532765107997
281,6.063292738970588,6.064203318876379
282,6.0352826286764705,6.0636517908432905
283,6.027906709558823,6.063160350126379
284,6.005457261029411,6.062432925953584
285,5.963893037683825,6.061472763959099
286,5.959963809742646,6.060160522460937
287,5.946774471507353,6.058790836109835
288,5.940731272977941,6.057503295898438
289,5.903552964154413,6.055682667451747
290,5.902438534007353,6.054001285328584
291,5.892374195772058,6.052016824161305
292,5.907872817095589,6.050210786707261
293,5.898210592830883,6.048224372414982
294,5.906295955882354,6.046240916532628
295,5.85638786764706,6.043647051642922
296,5.823701746323529,6.040474717084099
297,5.828837316176471,6.037293536017923
298,5.825413602941177,6.03428158748851
299,5.8330882352941185,6.031377979951746
300,5.8296875,6.028406587488511
301,5.810363051470589,6.025380622414982
302,5.801125919117647,6.0225291245404415
303,5.788556985294117,6.019631785673254
304,5.769921875,6.016460664636948
305,5.749230238970588,6.013003583122702
306,5.75482536764706,6.009577177159927
307,5.732927389705882,6.005885031307445
308,5.745622702205883,6.0023860150505515
309,5.761293658088235,5.999175027286306
310,5.747667738970587,5.9959794347426465
311,5.763614430147059,5.992948249368107
312,5.771495863970588,5.989759779986213
313,5.7848230698529415,5.986750078986672
314,5.772966452205883,5.983460506663603
315,5.770576746323529,5.9801815041934745
316,5.773678768382354,5.977077019186582
317,5.77174862132353,5.973987979664522
318,5.772690716911765,5.970956729664522
319,5.7798828125,5.967930305032168
320,5.773586856617648,5.964793816061581
321,5.7650390625,5.962010383157169
322,5.765130974264706,5.959228328929227
323,5.781767003676471,5.956659624885111
324,5.823885569852941,5.954331270105699
325,5.8382812500000005,5.9522176441865815
326,5.815234374999999,5.949939955767463
327,5.809937959558823,5.94773108628217
328,5.797621783088236,5.9452491239659935
329,5.804698988970587,5.942694551355699
330,5.757858455882353,5.939644114774817
331,5.772104779411764,5.936870102826287
332,5.787201286764707,5.934430190142463
333,5.783743106617647,5.931611256318933
334,5.797254136029411,5.929076100068934
335,5.802539062500001,5.926544160730699
336,5.811971507352942,5.924399974149816
337,5.816061580882353,5.922165943818934
338,5.8359145220588236,5.920052088120404
339,5.843152573529411,5.918085865693935
340,5.8794462316176475,5.916662841796875
341,5.875942095588236,5.915230282054228
342,5.879480698529412,5.913616081686581
343,5.868566176470589,5.912034280215993
344,5.843106617647059,5.910069091796874
345,5.830284926470588,5.907961899701287
346,5.831916360294118,5.9057022489659925
347,5.839292279411764,5.903622285730698
348,5.809558823529412,5.901152961282168
349,5.824908088235294,5.898809555951288
350,5.825758272058823,5.896544505399817
351,5.791429227941176,5.893946274701287
352,5.793359375,5.891393770105697
353,5.769875919117647,5.888844482421875
354,5.755583639705882,5.88690491440717
355,5.730181525735294,5.884733843635111
356,5.750574448529411,5.882629523782169
357,5.750631893382352,5.880517736098345
358,5.761638327205882,5.878083323759191
359,5.754951746323529,5.875148810891544
360,5.774172794117647,5.872352740119485
361,5.773035386029411,5.869478774126838
362,5.767715992647058,5.866586885340073
363,5.754779411764706,5.863442813648897
364,5.741980698529412,5.859905129825368
365,5.744152113970588,5.856204187729779
366,5.734386488970588,5.852361012178309
367,5.7548598345588236,5.848853774126838
368,5.755307904411765,5.845655589384191
369,5.756675091911765,5.842454072840074
370,5.744956341911765,5.839353889016544
371,5.744565716911764,5.836422133501839
372,5.745542279411765,5.833679371553309
373,5.740510110294117,5.830852625229779
374,5.750769761029412,5.827956370634191
375,5.745875459558823,5.824969812729779
376,5.7842026654411764,5.822248305376839
377,5.796863511029411,5.819699592141544
378,5.776102941176471,5.816695685891545
379,5.7035615808823525,5.813018525965074
380,5.718715533088234,5.809323787913603
381,5.709558823529411,5.805786448759192
382,5.715306181066177,5.802586684283088
383,5.703162339154411,5.799339240579044
384,5.712514361213235,5.796409811580883
385,5.705207375919118,5.793822954963235
386,5.698268037683824,5.791205997242647
387,5.7023322610294125,5.788761575137868
388,5.700723805147059,5.786361500459558
389,5.707134650735295,5.784397317325368
390,5.700218290441177,5.782375114889707
391,5.673506433823529,5.7801864372702205
392,5.669875919117648,5.777806468290441
393,5.688970588235295,5.775714068244485
394,5.678791360294117,5.773439022288603
395,5.694393382352941,5.771819077435662
396,5.699770220588236,5.770579762178309
397,5.722472426470588,5.76951611328125
398,5.718095128676469,5.768442928538604
399,5.701619944852942,5.767128245634192
400,5.723288143382353,5.766064252068015
401,5.734547334558823,5.765306094898897
402,5.723334099264706,5.7645281767003675
403,5.739211856617646,5.7640347254136035
404,5.726252297794117,5.763598029641545
405,5.729411764705883,5.763399844898897
406,5.735409007352942,5.763205681295956
407,5.733088235294118,5.763207289751838
408,5.741498161764706,5.763166044347426
409,5.7609719669117645,5.763162827435662
410,5.7707950367647065,5.763394100413604
411,5.75436580882353,5.763301614200368
412,5.749437040441176,5.763081025965074
413,5.743405330882353,5.762666848575368
414,5.735822610294118,5.76229541015625
415,5.739636948529411,5.761986012178308
416,5.7372817095588236,5.761622041590074
417,5.732536764705882,5.761229923023897
418,5.735500919117647,5.760858025045955
419,5.731238511029412,5.760371582031251
420,5.708685661764706,5.75972257008272
421,5.71771599264706,5.7592493393841915
422,5.6966796875,5.758564826516545
423,5.662856158088235,5.757375718060661
424,5.731043198529411,5.756447294347427
425,5.729331341911765,5.755357795266543
426,5.7182100183823525,5.7543875517003675
427,5.717876838235294,5.753466940487133
428,5.733880974264705,5.752829532398896
429,5.757180606617647,5.752354348575367
430,5.7615923713235295,5.752391687729779
431,5.769301470588235,5.7523636546415435
432,5.76803768382353,5.752172018612132
433,5.779285386029413,5.75212744140625
434,5.7874425551470585,5.752029325597427
435,5.76706112132353,5.7516745461856615
436,5.7604204963235315,5.751159036075368
437,5.727504595588234,5.750273466222426
438,5.7396484375,5.749310805376838
439,5.758134191176471,5.748460621553309
440,5.761799172794118,5.747284150965073
441,5.756077665441177,5.746085506663602
442,5.761937040441177,5.744910070082721
443,5.752435661764706,5.7437487649356616
444,5.746139705882353,5.742779095818015
445,5.737948069852941,5.741855727251838
446,5.736397058823529,5.740900534237133
447,5.730457261029412,5.739812184053309
448,5.701930147058823,5.738735897288604
449,5.722656250000001,5.73771337890625
450,5.719037224264706,5.736646168428308
451,5.711902573529413,5.7358509018841906
452,5.725344669117648,5.7351707548253685
453,5.732088694852941,5.73479288258272
454,5.729802389705883,5.73453507008272
455,5.721714154411765,5.7344503963694855
456,5.710788143382353,5.734052533318016
457,5.7072265625,5.7336184800091905
458,5.728975183823529,5.733291848575368
459,5.761672794117647,5.73335905905331
460,5.743462775735294,5.733051958869486
461,5.727895220588236,5.732600557215074
462,5.717107077205882,5.732094468060662
463,5.724977022058823,5.731796444163604
464,5.733651194852942,5.731713149126838
465,5.745680147058823,5.73172842945772
466,5.755790441176471,5.731942468979779
467,5.717670036764706,5.731570571001838
468,5.723851102941177,5.731256002987132
469,5.730296415441176,5.730992216222427
470,5.731858915441177,5.7308612419577205
471,5.731652113970588,5.7307321059283085
472,5.728573069852942,5.73056241383272
473,5.728251378676471,5.730439826516545
474,5.717015165441177,5.730102280560661
475,5.736615349264706,5.730009679457721
476,5.752516084558825,5.729692813648898
477,5.748471966911765,5.729208898207721
478,5.740165441176471,5.728849523207721
479,5.731410845588234,5.72912801585478
480,5.716555606617647,5.729106416590073
481,5.696702665441176,5.728977855009191
482,5.700287224264706,5.728827665441177
483,5.7041819852941185,5.728837861902574
484,5.708892463235294,5.728801642922793
485,5.704446231617648,5.72879403147978
486,5.6960018382352935,5.728771369485294
487,5.703170955882352,5.728779756433824
488,5.693118106617646,5.72870369944853
489,5.7062844669117645,5.7286951976102936
490,5.6953354779411764,5.728646369485294
491,5.716027113970588,5.729071576286765
492,5.689671415441177,5.72926953125
493,5.682961856617647,5.729209443933823
494,5.6947265625000005,5.7293687959558826
495,5.689418658088235,5.7293190487132355
496,5.670691636029412,5.729028262867647
497,5.670484834558824,5.72850838694853
498,5.6741613051470585,5.728069048713235
499,5.680618106617648,5.727859030330881
500,5.659397977941177,5.727220128676471
501,5.654411764705882,5.726418772977942
502,5.654342830882353,5.725728860294117
503,5.649000459558823,5.7248267463235285
504,5.661948529411765,5.724183708639706
505,5.674333639705883,5.723632927389706
506,5.659191176470588,5.722870749080882
507,5.641199448529411,5.721951861213236
508,5.656077665441177,5.72109765625
509,5.6175206801470585,5.719663143382353
510,5.612810202205882,5.718083295036764
511,5.611316636029411,5.716652803308823
512,5.6193359375,5.715351792279412
513,5.608191636029412,5.713999655330882
514,5.5970703125,5.712612132352941
515,5.625942095588235,5.711475183823529
516,5.620427389705883,5.710306640625
517,5.631387867647058,5.709295151654413
518,5.646059283088236,5.708400735294118
519,5.632261029411765,5.707410960477941
520,5.6392118566176475,5.706716222426471
521,5.621702665441175,5.705756089154412
522,5.582559742647058,5.704614889705883
523,5.592325367647058,5.70390958180147
524,5.596691176470588,5.702566061580882
525,5.560410443474265,5.700876852596508
526,5.556835937500001,5.699263111787684
527,5.5517578125,5.69760192153033
528,5.562649356617646,5.695889605353861
529,5.558892463235294,5.693906723920037
530,5.529239430147059,5.691583194508272
531,5.5019301470588236,5.688909481272979
532,5.509834558823529,5.686327450022978
533,5.501861213235294,5.683553208295037
534,5.525913373161766,5.680937916475184
535,5.535299862132352,5.678620303883272
536,5.530485983455882,5.676320958754596
537,5.5182961856617645,5.674228874655331
538,5.525706571691176,5.672089455997243
539,5.526235064338235,5.6697704647288605
540,5.518118106617647,5.667333654067096
541,5.51752068014706,5.6649480842141555
542,5.508180147058823,5.662410515280331
543,5.503550091911765,5.659921659581801
544,5.517296645220588,5.657633228975183
545,5.541400505514705,5.655667753331802
546,5.543112362132352,5.65373490636489
547,5.533438648897059,5.651764720243567
548,5.520490579044117,5.649950324563418
549,5.474643841911765,5.6474702004825375
550,5.472656250000001,5.645006390739891
551,5.462385110294118,5.642511216107538
552,5.460615808823529,5.639863927504596
553,5.466727941176471,5.637210319967831
554,5.46711856617647,5.634583481732537
555,5.484685202205883,5.632213192210478
556,5.473988970588235,5.629845200482537
557,5.4579273897058815,5.627352208754596
558,5.436856617647059,5.62443102309283
559,5.43059512867647,5.621120246438419
560,5.4307904411764705,5.61799352309283
561,5.419358915441176,5.61490816004136
562,5.4047334558823525,5.611784423828125
563,5.413568474264705,5.6086703383501835
564,5.4248046875,5.6055818732766545
565,5.417061121323529,5.602295683019301
566,5.413901654411765,5.5988767951516545
567,5.407778033088235,5.59577787511489
568,5.436902573529411,5.5929083898207725
569,5.441773897058823,5.590023164636949
570,5.443520220588235,5.587139777688419
571,5.4326401654411764,5.584149658203126
572,5.421323529411764,5.581077162798714
573,5.417509191176471,5.577969740923713
574,5.399862132352942,5.5747982105928315
575,5.437097886029412,5.571803035960478
576,5.459375,5.56887162511489
577,5.467601102941177,5.566062916475183
578,5.446297679227942,5.563124238855698
579,5.410739315257352,5.559917523552389
580,5.409509995404411,5.556847067440258
581,5.422917624080882,5.554109217026654
582,5.435061465992647,5.551456959443934
583,5.4372788373161764,5.548787927964153
584,5.408386948529412,5.545782872817096
585,5.424977022058823,5.542988180721507
586,5.424609375,5.5402742560891545
587,5.444692095588235,5.537689467486213
588,5.463648897058824,5.535394775390626
589,5.469692095588234,5.53302885167739
590,5.493715533088236,5.53101265222886
591,5.484375,5.528696131089155
592,5.4791590073529415,5.526591007008273
593,5.499959788602941,5.5247609863281255
594,5.5147460937499995,5.522961181640625
595,5.498707490808823,5.52105406996783
596,5.497340303308824,5.519320556640626
597,5.493801700367647,5.517553725298712
598,5.466331571691177,5.515475427964154
599,5.462724034926471,5.513296487247243
600,5.484127987132352,5.5115437873391535
601,5.485943244485295,5.509859102136948
602,5.513218060661766,5.508447854434743
603,5.513045726102941,5.507088307100183
604,5.509139476102942,5.505560216567095
605,5.496673943014707,5.503783619600183
606,5.511896829044118,5.502310676125919
607,5.528774126838235,5.501186422909008
608,5.535529641544118,5.499980942670036
609,5.5154239430147065,5.498959975298714
610,5.512459788602941,5.497956471162684
611,5.501039751838236,5.496853702320773
612,5.4749138327205875,5.4954094812729775
613,5.469284237132354,5.494020407284007
614,5.47211052389706,5.492770809397978
615,5.489826516544118,5.491409653607536
616,5.485116038602941,5.490056540096507
617,5.485736443014707,5.488600025850184
618,5.470892693014706,5.486848359949448
619,5.472719439338237,5.485252944048713
620,5.469249770220587,5.483553323184742
621,5.474431295955883,5.4820806094898895
622,5.488424862132353,5.481139260684743
623,5.461942784926469,5.479835434857537
624,5.473948759191176,5.478608010684743
625,5.4611385569852935,5.477615291819852
626,5.487466969209558,5.476921602136948
627,5.4909251493566185,5.4763132755055155
628,5.510709156709559,5.475793873506434
629,5.471807502297795,5.474923023897059
630,5.4523681640624995,5.474154311236214
631,5.442947208180146,5.473564481847426
632,5.442510627297795,5.472891242532168
633,5.440178366268382,5.4722744140625
634,5.444210994944852,5.471457390280331
635,5.447152171415441,5.470575913373162
636,5.43531853170956,5.469624238855698
637,5.450966509650735,5.468950942095588
638,5.452264404296875,5.468216520421645
639,5.460134349149816,5.467555513269761
640,5.457767621208639,5.466952008415671
641,5.458031867532169,5.466357120289522
642,5.466681985294118,5.465942138671875
643,5.45559512867647,5.465462589039521
644,5.46177619485294,5.464907384535845
645,5.439372702205882,5.4638871065027566
646,5.4755629595588236,5.463211612477022
647,5.4771484375,5.462648710363051
648,5.454170496323529,5.461985509535846
649,5.4596277573529415,5.461835348690257
650,5.469600183823529,5.461804788028491
651,5.469129136029412,5.461872228285845
652,5.4823988970588236,5.462090059168198
653,5.477527573529412,5.4621980554917275
654,5.481204044117646,5.46233891027114
655,5.483386948529412,5.462325927734375
656,5.473035386029411,5.462316391888786
657,5.461557904411765,5.462352697035845
658,5.450654871323528,5.462490679572611
659,5.4420955882352935,5.4626056841681985
660,5.453021599264706,5.462827995749081
661,5.435271139705883,5.4629871179917275
662,5.446886488970589,5.46340864832261
663,5.415222886029412,5.4634251924402575
664,5.377780330882354,5.4629549488740805
665,5.364981617647059,5.462434153837316
666,5.368658088235294,5.461981718175552
667,5.362752757352942,5.461531465418199
668,5.378205422794118,5.460944493910845
669,5.383432904411764,5.460361083984375
670,5.4047334558823525,5.459973216337317
671,5.332789522058823,5.458974709903492
672,5.332410386029411,5.458085578469669
673,5.322449448529412,5.457134981043198
674,5.350057444852942,5.456636934168198
675,5.334478400735295,5.455610739315257
676,5.319496783088235,5.45421195714614
677,5.346323529411764,5.4529991814108465
678,5.299379595588236,5.451530000574448
679,5.321943933823529,5.45064204676011
680,5.330296415441177,5.449849910960478
681,5.354239430147059,5.44916312902114
682,5.368508731617647,5.448497601677389
683,5.38178280101103,5.447942641314338
684,5.403278664981617,5.447891558478861
685,5.4041977826286764,5.447683766084558
686,5.38705623851103,5.447308234719669
687,5.3910429113051475,5.446771742876837
688,5.352251838235294,5.445657772288603
689,5.359099264705882,5.44455184397978
690,5.363752297794117,5.443252211626838
691,5.3501493566176475,5.441909955193014
692,5.317440257352941,5.440292767693014
693,5.324207261029413,5.438535242417279
694,5.346128216911764,5.436849063648896
695,5.372070312500001,5.435582691865809
696,5.338982077205882,5.433999109604779
697,5.353170955882353,5.4325928021599275
698,5.39475528492647,5.43187703929228
699,5.362482766544118,5.430874626608456
700,5.352452895220589,5.429557875689338
701,5.388844209558824,5.428586885340073
702,5.369944852941177,5.427154153262867
