,steps,time
0,80.0,0.0003184089660644531
10,21.854000000000003,8.157587051391601e-05
20,21.986,7.710838317871092e-05
30,21.951999999999998,7.67655372619629e-05
40,21.986,7.680130004882814e-05
50,21.951999999999998,7.701396942138671e-05
60,21.896000000000004,7.664489746093751e-05
70,21.953999999999997,7.70120620727539e-05
80,21.986,7.726573944091797e-05
90,22.098000000000003,7.745027542114258e-05
100,21.953999999999997,7.713317871093751e-05
110,21.686,7.806873321533205e-05
120,22.294000000000004,7.803010940551759e-05
130,21.896000000000004,7.663488388061522e-05
140,21.986,7.712459564208983e-05
150,21.986,7.705497741699219e-05
160,21.986,7.697200775146483e-05
170,21.896000000000004,7.659101486206054e-05
180,21.986,7.936859130859377e-05
190,21.776,8.052158355712893e-05
200,21.894,8.114528656005858e-05
210,21.896000000000004,7.877779006958008e-05
220,21.986,8.363676071166991e-05
230,21.953999999999997,8.008193969726563e-05
240,22.594,7.907342910766602e-05
250,21.804000000000002,7.626628875732422e-05
260,21.986,7.698965072631836e-05
270,21.65,7.593822479248046e-05
