,Value,Mean_Value(10)
0,0.2647059,
1,0.5276863,
2,0.8249968,
3,1.1399442,
4,1.4715004,
5,1.8097976,
6,2.1506908,
7,2.4849362,
8,2.8088973,
9,3.1180077,
10,3.4114628,
11,3.6871514,
12,3.945264,
13,4.1854005,
14,4.4082093,
15,4.6142073,
16,4.804356,
17,4.9794993,
18,5.140598,
19,5.288567,
20,5.4243383,
21,5.5487947,
22,5.662795,
23,5.767143,
24,5.8626075,
25,5.9499025,
26,6.0296926,
27,6.1025953,
28,6.169183,
29,6.2299848,
30,6.28549,
31,6.33615,
32,6.3823805,
33,6.424562,
34,6.463044,
35,6.4981484,
36,6.5301704,
37,6.559378,
38,6.5860186,
39,6.6103163,
40,6.632479,
41,6.6526947,
42,6.6711335,
43,6.687954,
44,6.7032976,
45,6.7172966,
46,6.730069,
47,6.7417235,
48,6.75236,
49,6.7620673,
50,6.7709284,
51,6.779017,
52,6.786402,
53,6.7931457,
54,6.799305,
55,6.8049316,
56,6.810071,
57,6.8147674,
58,6.8190584,
59,6.8229804,
60,6.826567,
61,6.8298445,
62,6.832843,
63,6.835584,
64,6.8380938,
65,6.8403893,
66,6.8424897,
67,6.8444114,
68,6.8461714,
69,6.847783,
70,6.8492584,
71,6.850611,
72,6.8518496,
73,6.8529844,
74,6.8540244,
75,6.8549776,
76,6.855851,
77,6.8566523,
78,6.8573875,
79,6.8580613,
80,6.8586807,
81,6.8592477,
82,6.859769,
83,6.860247,
84,6.8606863,
85,6.861089,
86,6.8614593,
87,6.861799,
88,6.8621125,
89,6.8623986,
90,6.8626623,
91,6.862905,
92,6.8631277,
93,6.863333,
94,6.8635225,
95,6.8636947,
96,6.8638544,
97,6.864,
98,6.8641357,
99,6.86426,5.937090764641762
100,6.8643746,6.003087452054023
101,6.864479,6.066455379724503
102,6.864576,6.126851170063019
103,6.864665,6.184098378419876
104,6.8647475,6.238030849695206
105,6.8648233,6.28858110666275
106,6.864892,6.3357231187820435
107,6.864956,6.3795233154296875
108,6.8650155,6.420084497928619
109,6.8650694,6.457555115222931
110,6.86512,6.492091686725616
111,6.8651657,6.523871829509735
112,6.8652086,6.553071274757385
113,6.8652472,6.579869742393494
114,6.865284,6.604440488815308
115,6.865317,6.626951584815979
116,6.865348,6.647561502456665
117,6.8653765,6.6664202737808225
118,6.865402,6.6836683177948
119,6.8654265,6.699436912536621
120,6.865448,6.713848009109497
