,Value,Mean_Value(10)
0,-0.29855668430511184,
1,-0.6297831282448083,
2,-0.8707388490914536,
3,-1.16311526557508,
4,-1.3972646889976037,
5,-1.6342525396865017,
6,-1.8787722456569491,
7,-2.0444911578973644,
8,-2.258855986671326,
9,-2.4063819763378596,
10,-2.582943852336262,
11,-2.7418667631789138,
12,-2.8879300931010383,
13,-3.037812312799521,
14,-3.1807286466653357,
15,-3.288128213608227,
16,-3.407357914836262,
17,-3.5468069838258787,
18,-3.6350158496405753,
19,-3.7695027019269167,
20,-3.8692730693390573,
21,-3.9861452925319485,
22,-4.098946061301918,
23,-4.2136818590255585,
24,-4.307781923921726,
25,-4.37632335138778,
26,-4.467190932008785,
27,-4.564774017821486,
28,-4.662837896865016,
29,-4.7611407685203675,
30,-4.842860173722045,
31,-4.918288238817891,
32,-4.999565226886981,
33,-5.08926280451278,
34,-5.170805617262381,
35,-5.256237987969248,
36,-5.338823975389376,
37,-5.402604582667732,
38,-5.483673466204072,
39,-5.550429469099441,
40,-5.6337634784345045,
41,-5.72463152705671,
42,-5.784456432208467,
43,-5.856756533296725,
44,-5.933641174121405,
45,-6.00807863668131,
46,-6.063036173372604,
47,-6.132186158396566,
48,-6.194992699181311,
49,-6.256592888877796,
50,-6.309228047623802,
51,-6.382781299920127,
52,-6.450216372553913,
53,-6.509036323132987,
54,-6.549934947833466,
55,-6.635811607677715,
56,-6.697547361721246,
57,-6.756178551817092,
58,-6.819473685852637,
59,-6.86914296500599,
60,-6.922708042132588,
61,-6.956264820037939,
62,-7.015213158945687,
63,-7.063265493959665,
64,-7.134693552815494,
65,-7.1922511481629385,
66,-7.261869290385384,
67,-7.305358145716854,
68,-7.340420951477635,
69,-7.377140637480032,
70,-7.417491700778754,
71,-7.438726007138579,
72,-7.471280014476837,
73,-7.503507512979233,
74,-7.541951003394568,
75,-7.579964712709665,
76,-7.61556899585663,
77,-7.662201259235223,
78,-7.713960631739217,
79,-7.738069869458866,
80,-7.792670321236022,
81,-7.83692623053115,
82,-7.868607181634386,
83,-7.905829968924721,
84,-7.939515447159545,
85,-7.996907838084065,
86,-8.028065485847645,
87,-8.056752399286143,
88,-8.099834561576477,
89,-8.113681391024361,
90,-8.14386980830671,
91,-8.150960650459265,
92,-8.165702220197684,
93,-8.17653566793131,
94,-8.182626547523961,
95,-8.201629892172525,
96,-8.222871686551517,
97,-8.228791901707266,
98,-8.237912933057109,
99,-8.258394225489218,-5.764484327419878
100,-8.269498645916533,-5.844193747035993
101,-8.291639548597244,-5.9208123112395175
102,-8.310632129218252,-5.995211244040785
103,-8.322879720572086,-6.066808888590755
104,-8.343118978384584,-6.136267431484624
105,-8.361326876996806,-6.203538174857727
106,-8.373643264526757,-6.268486885046426
107,-8.388825379392971,-6.331930227261382
108,-8.39779103434505,-6.393319577738119
109,-8.41014907398163,-6.453357248714557
110,-8.421419322833467,-6.511742003419529
111,-8.428057919828273,-6.568603914986023
112,-8.44356178551817,-6.624160231910193
113,-8.459339353908746,-6.678375502321286
114,-8.468070228259784,-6.731248918137231
115,-8.484820615140775,-6.783215842152556
116,-8.492681709265174,-6.834069080096846
117,-8.511316268969647,-6.883714172948283
118,-8.532201914436902,-6.932686033596245
119,-8.540994720946486,-6.980400953786442
120,-8.554155850638978,-7.027249781599441
121,-8.566553826377795,-7.0730538669379
122,-8.572837522464058,-7.117792781549521
123,-8.5776122266873,-7.161432085226138
124,-8.587695156499601,-7.204231217551917
125,-8.596717751597444,-7.246435161554014
126,-8.607878644169329,-7.2878420386756195
127,-8.621702853559304,-7.328411327032998
128,-8.630169619234223,-7.3680846442566885
129,-8.643367877021765,-7.406906915341702
130,-8.65247564833766,-7.44500307008786
131,-8.662382531699281,-7.482444013016672
132,-8.678048403803915,-7.519228844785842
133,-8.687700772513978,-7.555213224465855
134,-8.694690838408546,-7.590452076677317
135,-8.701593388079072,-7.624905630678414
136,-8.709693240814696,-7.658614323332667
137,-8.719502701926917,-7.69178330452526
138,-8.725575719473841,-7.724202327057957
139,-8.735146187974241,-7.756049494246705
140,-8.742021671575479,-7.787132076178116
141,-8.749444326577477,-7.817380204173322
142,-8.759513840355432,-7.847130778254792
143,-8.765181646865015,-7.876215029390476
144,-8.77299040285543,-7.904608521677814
145,-8.779789524261181,-7.932325630553614
146,-8.784151451427714,-7.959536783334166
147,-8.791307813748002,-7.98612799988768
148,-8.804501079522762,-8.012223083691094
149,-8.811138740515176,-8.037768542207468
150,-8.815986608925718,-8.062836127820487
151,-8.821619705346446,-8.08722451187475
152,-8.823598882413139,-8.110958336973342
153,-8.828795879717452,-8.134155932539187
154,-8.832931372304312,-8.156985896783896
155,-8.836971938648164,-8.1789975000936
156,-8.843029434155351,-8.200452320817941
157,-8.846532540123302,-8.221355860701003
158,-8.851480443789935,-8.241675928280376
159,-8.854454318403054,-8.261529041814349
160,-8.860383581581967,-8.28090579720884
161,-8.86434127271366,-8.299986561735597
162,-8.870180679662543,-8.318536236942766
163,-8.87657724203774,-8.336669354423547
164,-8.880600258336662,-8.354128421478759
165,-8.883473005690893,-8.371040640054039
166,-8.885565907048722,-8.387277606220671
167,-8.891180790422823,-8.403135832667731
168,-8.894532615003495,-8.41867694930299
169,-8.897517214644068,-8.433880715074629
170,-8.902249330758286,-8.448728291374426
171,-8.907347579809805,-8.463414507101138
172,-8.911156953561802,-8.477813276491988
173,-8.91529782816244,-8.49193117964382
174,-8.9197510155626,-8.5057091797655
175,-8.92233173016923,-8.519132849940096
176,-8.92609414780102,-8.532238101459539
177,-8.928423662764576,-8.544900325494833
178,-8.93058130428814,-8.557066532220324
179,-8.933485095721846,-8.569020684482952
180,-8.936692892933804,-8.58046091019993
181,-8.938682522027257,-8.59147847311489
182,-8.942322557345747,-8.602215626872004
183,-8.945383519181808,-8.612611162374575
184,-8.950039351100738,-8.622716401413987
185,-8.953207407210963,-8.632279397105256
186,-8.956536962734624,-8.641564111874127
187,-8.960579830084365,-8.650602386182108
