,Value,Mean_Value(10)
0,0.003194888,
1,-0.99520767,
2,-1.8757818,
3,-2.7377255,
4,-3.5821147,
5,-4.409547,
6,-5.220751,
7,-6.01644,
8,-6.797431,
9,-7.5644197,
10,-8.318135,
11,-9.058953,
12,-9.787196,
13,-10.50302,
14,-11.206517,
15,-11.8977375,
16,-12.576779,
17,-13.243678,
18,-13.898453,
19,-14.540779,
20,-15.170599,
21,-15.787694,
22,-16.391653,
23,-16.98237,
24,-17.559727,
25,-18.124134,
26,-18.676434,
27,-19.217155,
28,-19.747349,
29,-20.267694,
30,-20.778757,
31,-21.281126,
32,-21.775345,
33,-22.261576,
34,-22.740208,
35,-23.211384,
36,-23.675026,
37,-24.131353,
38,-24.580408,
39,-25.022161,
40,-25.456629,
41,-25.88379,
42,-26.30363,
43,-26.716375,
44,-27.12176,
45,-27.519907,
46,-27.910868,
47,-28.294779,
48,-28.671589,
49,-29.04148,
50,-29.404358,
51,-29.7603,
52,-30.109436,
53,-30.45171,
54,-30.78706,
55,-31.115576,
56,-31.4372,
57,-31.751932,
58,-32.059723,
59,-32.360542,
60,-32.6544,
61,-32.94126,
62,-33.22111,
63,-33.49406,
64,-33.760063,
65,-34.019264,
66,-34.27172,
67,-34.51759,
68,-34.756966,
69,-34.990013,
70,-35.21685,
71,-35.437725,
72,-35.65278,
73,-35.862225,
74,-36.066246,
75,-36.26502,
76,-36.45869,
77,-36.647526,
78,-36.8317,
79,-37.011345,
80,-37.186684,
81,-37.357796,
82,-37.524956,
83,-37.688225,
84,-37.84778,
85,-38.003754,
86,-38.15621,
87,-38.305397,
88,-38.451344,
89,-38.594177,
90,-38.73398,
91,-38.870914,
92,-39.00505,
93,-39.136436,
94,-39.26516,
95,-39.3914,
96,-39.515144,
97,-39.636482,
98,-39.75548,
99,-39.872272,-26.161434619829524
100,-39.986794,-26.561334503889086
101,-40.099182,-26.95237424850464
102,-40.20945,-27.335710928440093
103,-40.317703,-27.711510705947877
104,-40.423927,-28.079928832054136
105,-40.528206,-28.441115422248842
106,-40.63056,-28.795213532447814
107,-40.73107,-29.142359848022462
108,-40.829765,-29.48268319129944
109,-40.92664,-29.816305389404295
110,-41.02174,-30.14334143638611
111,-41.115135,-30.463903255462647
112,-41.20687,-30.778100004196165
113,-41.29693,-31.086039085388183
114,-41.385353,-31.38782744407654
115,-41.472176,-31.683571825027467
116,-41.557438,-31.973378410339354
117,-41.641155,-32.25735318183899
118,-41.723335,-32.53560200691223
119,-41.80405,-32.808234720230104
120,-41.88324,-33.07536112785339
121,-41.961052,-33.337094707489015
122,-42.037376,-33.59355194091797
123,-42.112312,-33.844851360321044
124,-42.185844,-34.091112537384035
125,-42.258007,-34.33245126724243
126,-42.328857,-34.56897550582886
127,-42.39833,-34.80078725814819
