,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
116,24,0.99,0.4,0.95,227.62000000000003,-0.16547096,0.0008181440830230712,-24.064799999999952,4491.0
97,24,0.95,0.4,0.9,234.42,-0.1370135,0.000842113494873047,-24.336799999999943,4511.0
91,24,0.95,0.7,0.95,242.32000000000002,-0.16719462,0.0008627867698669432,-24.65279999999994,4661.0
115,24,0.99,0.4,1.0,242.42000000000002,-0.15769175,0.000883500576019287,-24.656799999999937,4481.0
75,24,0.9,0.4,1.0,248.295,-0.10225697,0.0008908808231353758,-24.891799999999936,4521.0
90,24,0.95,0.7,1.0,250.31000000000003,-0.15910742,0.0008926844596862793,-24.97239999999993,4691.0
40,24,0.7,0.95,1.0,251.21000000000004,-0.105290845,0.0008920419216156007,-25.008399999999938,4781.0
96,24,0.95,0.4,0.95,254.91499999999996,-0.12997139,0.0009095895290374755,-25.156599999999926,4531.0
55,24,0.7,0.4,1.0,257.67499999999995,-0.07224323,0.0009262633323669434,-25.266999999999925,4551.0
111,24,0.99,0.7,0.95,257.72999999999996,-0.21666928,0.000917423963546753,-25.26919999999993,4701.0
65,24,0.9,0.9,1.0,259.315,-0.14496852,0.0009260833263397217,-25.33259999999992,4791.0
112,24,0.99,0.7,0.9,262.88500000000005,-0.23072302,0.0009417617321014406,-25.475399999999926,4691.0
106,24,0.99,0.9,0.95,264.255,-0.2437053,0.0009570574760437012,-25.530199999999923,4781.0
110,24,0.99,0.7,1.0,270.27,-0.20461568,0.0009668099880218506,-25.770799999999916,4651.0
60,24,0.9,0.95,1.0,271.32000000000005,-0.14608087,0.0009636735916137695,-25.812799999999953,4781.0
100,24,0.99,0.95,1.0,272.68,-0.2399487,0.000978635549545288,-25.86719999999995,4781.0
86,24,0.95,0.9,0.95,275.82,-0.18242876,0.000988771915435791,-25.992799999999914,4781.0
101,24,0.99,0.95,0.95,275.875,-0.24806526,0.000992642641067505,-25.994999999999912,4791.0
70,24,0.9,0.7,1.0,275.96000000000004,-0.13087161,0.0009968721866607665,-25.99839999999991,4701.0
77,24,0.9,0.4,0.9,276.885,-0.11378151,0.0010222220420837403,-26.035399999999914,4551.0
95,24,0.95,0.4,1.0,277.44,-0.12504184,0.0010116195678710937,-26.057599999999915,4571.0
82,24,0.95,0.95,0.9,277.61499999999995,-0.19661298,0.001001906394958496,-26.06459999999991,4791.0
81,24,0.95,0.95,0.95,277.965,-0.18379001,0.0009902000427246095,-26.078599999999916,4801.0
30,24,0.3,0.7,1.0,278.21500000000003,-0.06643513,0.0010002028942108156,-26.088599999999918,4671.0
35,24,0.3,0.4,1.0,280.145,-0.05466225,0.0010013580322265625,-26.165799999999912,4531.0
92,24,0.95,0.7,0.9,282.50999999999993,-0.17298461,0.001002194881439209,-26.260399999999912,4701.0
76,24,0.9,0.4,0.95,285.125,-0.10942496,0.0010370683670043947,-26.364999999999906,4531.0
117,24,0.99,0.4,0.9,285.49,-0.17210321,0.0010278832912445066,-26.379599999999904,4501.0
72,24,0.9,0.7,0.9,287.25499999999994,-0.14617547,0.0010237133502960206,-26.450199999999917,4711.0
105,24,0.99,0.9,1.0,289.84,-0.23002967,0.0010381436347961424,-26.553599999999904,4761.0
62,24,0.9,0.95,0.9,290.22999999999996,-0.16149825,0.001037825345993042,-26.5691999999999,4791.0
80,24,0.95,0.95,1.0,290.25,-0.17976508,0.0010375380516052246,-26.5699999999999,4801.0
107,24,0.99,0.9,0.9,290.61,-0.2517298,0.0010385417938232424,-26.58439999999991,4781.0
66,24,0.9,0.9,0.95,290.92999999999995,-0.15294969,0.0010372447967529296,-26.597199999999912,4781.0
45,24,0.7,0.9,1.0,291.63,-0.098334,0.0010542821884155275,-26.625199999999904,4771.0
50,24,0.7,0.7,1.0,296.125,-0.09165463,0.0010527217388153075,-26.8049999999999,4691.0
31,24,0.3,0.7,0.95,297.0,-0.06695468,0.001052612066268921,-26.839999999999897,4701.0
61,24,0.9,0.95,0.95,297.26499999999993,-0.15523241,0.0010631799697875977,-26.850599999999922,4791.0
85,24,0.95,0.9,1.0,297.68499999999995,-0.1738048,0.0010702133178710938,-26.8673999999999,4811.0
21,24,0.3,0.95,0.95,298.38,-0.079089746,0.0010584461688995363,-26.895199999999903,4811.0
87,24,0.95,0.9,0.9,304.47999999999996,-0.19034669,0.0010808086395263671,-27.139199999999896,4791.0
102,24,0.99,0.95,0.9,310.445,-0.2623065,0.0011175930500030517,-27.377799999999887,4791.0
78,24,0.9,0.4,0.7,311.185,-0.13977401,0.0011064159870147706,-27.407399999999893,4541.0
37,24,0.3,0.4,0.9,311.265,-0.05775825,0.0011022508144378663,-27.410599999999896,4551.0
71,24,0.9,0.7,0.95,312.05,-0.13739921,0.0011753761768341065,-27.4419999999999,4691.0
27,24,0.3,0.9,0.9,315.45,-0.07731898,0.0011285161972045897,-27.57799999999989,4791.0
22,24,0.3,0.95,0.9,316.77,-0.07667266,0.0011198318004608154,-27.63079999999989,4791.0
52,24,0.7,0.7,0.9,318.09,-0.099018656,0.0011229765415191652,-27.6835999999999,4691.0
57,24,0.7,0.4,0.9,319.65000000000003,-0.07914231,0.0011375522613525392,-27.745999999999913,4541.0
32,24,0.3,0.7,0.9,321.34000000000003,-0.072829604,0.0011409139633178711,-27.813599999999887,4671.0
98,24,0.95,0.4,0.7,328.615,-0.17189875,0.0011743092536926274,-28.10459999999988,4511.0
67,24,0.9,0.9,0.9,329.92500000000007,-0.15554,0.0011700725555419923,-28.15699999999989,4761.0
20,24,0.3,0.95,1.0,331.58000000000004,-0.07312925,0.0011699378490447998,-28.22319999999989,4791.0
