,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
42,25,0.7,0.95,0.9,135.26000000000002,-2.0112076,0.005462503433227539,-135.26000000000002,501.0
41,25,0.7,0.95,0.95,137.14000000000001,-2.006415,0.0054937458038330075,-137.14000000000001,501.0
91,25,0.95,0.7,0.95,143.23999999999998,-8.806503,0.005697007179260255,-143.23999999999998,561.0
57,25,0.7,0.4,0.9,147.5,-1.9522736,0.005957827568054198,-147.5,501.0
30,25,0.3,0.7,1.0,147.61999999999998,-0.8784253,0.005919160842895507,-147.61999999999998,501.0
68,25,0.9,0.9,0.7,150.07999999999998,-5.499396,0.005755019187927246,-150.07999999999998,521.0
47,25,0.7,0.9,0.9,150.34,-2.0044618,0.00599726676940918,-150.34,501.0
86,25,0.95,0.9,0.95,151.4,-9.178561,0.006066465377807617,-151.4,581.0
87,25,0.95,0.9,0.9,151.78000000000003,-9.222827,0.0060567426681518545,-151.78000000000003,1061.0
20,25,0.3,0.95,1.0,152.45999999999998,-0.88263446,0.006154003143310547,-152.45999999999998,481.0
107,25,0.99,0.9,0.9,152.6,-17.714502,0.006044449806213379,-152.6,1641.0
72,25,0.9,0.7,0.9,152.71999999999997,-5.3782196,0.006204371452331543,-152.71999999999997,521.0
51,25,0.7,0.7,0.95,153.24,-1.9863131,0.006256799697875977,-153.24,501.0
27,25,0.3,0.9,0.9,153.3,-0.8851595,0.006174893379211425,-153.3,501.0
73,25,0.9,0.7,0.7,153.66,-5.421164,0.006291093826293945,-153.66,541.0
81,25,0.95,0.95,0.95,155.14,-9.084536,0.006401920318603515,-155.14,661.0
46,25,0.7,0.9,0.95,156.59999999999997,-2.0034013,0.006815481185913086,-156.59999999999997,501.0
65,25,0.9,0.9,1.0,156.74,-5.3695316,0.006244854927062988,-156.74,521.0
33,25,0.3,0.7,0.7,156.76,-0.88531524,0.0061006498336792,-156.76,501.0
53,25,0.7,0.7,0.7,158.76,-2.0059896,0.0064649152755737295,-158.76,501.0
66,25,0.9,0.9,0.95,158.88000000000002,-5.410042,0.006332879066467285,-158.88000000000002,541.0
40,25,0.7,0.95,1.0,158.92000000000002,-1.999532,0.006441626548767091,-158.92000000000002,501.0
106,25,0.99,0.9,0.95,159.06,-17.05701,0.006615905761718751,-159.06,941.0
67,25,0.9,0.9,0.9,159.50000000000003,-5.4323874,0.006430864334106445,-159.50000000000003,521.0
34,25,0.3,0.7,0.4,159.68,-0.89097226,0.006341381072998047,-159.68,481.0
52,25,0.7,0.7,0.9,161.2,-1.9914322,0.006422762870788574,-161.2,501.0
109,25,0.99,0.9,0.4,161.34,-18.226345,0.0064906454086303715,-161.34,2761.0
82,25,0.95,0.95,0.9,161.68,-9.212645,0.006478548049926758,-161.68,661.0
92,25,0.95,0.7,0.9,161.92,-8.873167,0.006497621536254883,-161.92,1341.0
31,25,0.3,0.7,0.95,162.01999999999998,-0.87449944,0.006501555442810059,-162.01999999999998,501.0
80,25,0.95,0.95,1.0,162.74,-9.078249,0.006534290313720703,-162.74,741.0
26,25,0.3,0.9,0.95,164.02,-0.88051856,0.006649832725524903,-164.02,501.0
62,25,0.9,0.95,0.9,164.44,-5.4627457,0.006584038734436036,-164.44,541.0
89,25,0.95,0.9,0.4,165.04000000000002,-9.605256,0.006617140769958496,-165.04000000000002,561.0
36,25,0.3,0.4,0.95,165.24,-0.86523426,0.006618938446044923,-165.24,481.0
75,25,0.9,0.4,1.0,165.32,-5.0339127,0.0066887521743774405,-165.32,521.0
114,25,0.99,0.7,0.4,167.76,-15.832227,0.006834106445312499,-167.76,1541.0
61,25,0.9,0.95,0.95,167.78000000000003,-5.4223223,0.006688857078552246,-167.78000000000003,501.0
43,25,0.7,0.95,0.7,168.47999999999996,-2.0234153,0.006796369552612305,-168.47999999999996,501.0
38,25,0.3,0.4,0.7,169.06,-0.8714981,0.006942420005798339,-169.06,461.0
93,25,0.95,0.7,0.7,169.42,-9.081878,0.0067508029937744145,-169.42,621.0
28,25,0.3,0.9,0.7,169.66,-0.88724816,0.006835260391235351,-169.66,481.0
70,25,0.9,0.7,1.0,170.92000000000002,-5.303572,0.0069193410873413085,-170.92000000000002,521.0
59,25,0.7,0.4,0.4,171.42000000000002,-1.9595314,0.0068394231796264655,-171.42000000000002,501.0
88,25,0.95,0.9,0.7,171.8,-9.432207,0.006917672157287598,-171.8,681.0
110,25,0.99,0.7,1.0,173.04000000000002,-16.339443,0.006893525123596192,-173.04000000000002,2081.0
39,25,0.3,0.4,0.4,174.0,-0.8754562,0.007029900550842285,-174.0,461.0
77,25,0.9,0.4,0.9,174.26,-5.0573053,0.006967334747314454,-174.26,521.0
64,25,0.9,0.95,0.4,174.62,-5.6054196,0.006865949630737304,-174.62,561.0
55,25,0.7,0.4,1.0,174.78000000000003,-1.94439,0.007112264633178711,-174.78000000000003,501.0
